,city,date,review_count
0,Amsterdam,2023-01-01,465
1,Groningen,2023-01-01,186
2,Rotterdam,2023-01-01,375
3,Amsterdam,2023-01-02,429
4,Groningen,2023-01-02,108
5,Rotterdam,2023-01-02,282
6,Amsterdam,2023-01-03,372
7,Groningen,2023-01-03,87
8,Rotterdam,2023-01-03,250
9,Amsterdam,2023-01-04,375
10,Groningen,2023-01-04,98
11,Rotterdam,2023-01-04,272
12,Amsterdam,2023-01-05,379
13,Groningen,2023-01-05,103
14,Rotterdam,2023-01-05,278
15,Amsterdam,2023-01-06,374
16,Groningen,2023-01-06,107
17,Rotterdam,2023-01-06,323
18,Amsterdam,2023-01-07,408
19,Groningen,2023-01-07,117
20,Rotterdam,2023-01-07,340
21,Amsterdam,2023-01-08,458
22,Groningen,2023-01-08,128
23,Rotterdam,2023-01-08,337
24,Amsterdam,2023-01-09,356
25,Groningen,2023-01-09,95
26,Rotterdam,2023-01-09,254
27,Amsterdam,2023-01-10,335
28,Groningen,2023-01-10,73
29,Rotterdam,2023-01-10,217
30,Amsterdam,2023-01-11,327
31,Groningen,2023-01-11,81
32,Rotterdam,2023-01-11,238
33,Amsterdam,2023-01-12,369
34,Groningen,2023-01-12,127
35,Rotterdam,2023-01-12,288
36,Amsterdam,2023-01-13,411
37,Groningen,2023-01-13,139
38,Rotterdam,2023-01-13,319
39,Amsterdam,2023-01-14,463
40,Groningen,2023-01-14,142
41,Rotterdam,2023-01-14,396
42,Amsterdam,2023-01-15,519
43,Groningen,2023-01-15,137
44,Rotterdam,2023-01-15,391
45,Amsterdam,2023-01-16,365
46,Groningen,2023-01-16,92
47,Rotterdam,2023-01-16,278
48,Amsterdam,2023-01-17,309
49,Groningen,2023-01-17,78
50,Rotterdam,2023-01-17,236
51,Amsterdam,2023-01-18,303
52,Groningen,2023-01-18,108
53,Rotterdam,2023-01-18,225
54,Amsterdam,2023-01-19,326
55,Groningen,2023-01-19,95
56,Rotterdam,2023-01-19,250
57,Amsterdam,2023-01-20,434
58,Groningen,2023-01-20,116
59,Rotterdam,2023-01-20,392
60,Amsterdam,2023-01-21,432
61,Groningen,2023-01-21,134
62,Rotterdam,2023-01-21,346
63,Amsterdam,2023-01-22,472
64,Groningen,2023-01-22,165
65,Rotterdam,2023-01-22,405
66,Amsterdam,2023-01-23,398
67,Groningen,2023-01-23,104
68,Rotterdam,2023-01-23,269
69,Amsterdam,2023-01-24,316
70,Groningen,2023-01-24,112
71,Rotterdam,2023-01-24,297
72,Amsterdam,2023-01-25,346
73,Groningen,2023-01-25,110
74,Rotterdam,2023-01-25,269
75,Amsterdam,2023-01-26,380
76,Groningen,2023-01-26,119
77,Rotterdam,2023-01-26,297
78,Amsterdam,2023-01-27,456
79,Groningen,2023-01-27,103
80,Rotterdam,2023-01-27,340
81,Amsterdam,2023-01-28,450
82,Groningen,2023-01-28,154
83,Rotterdam,2023-01-28,341
84,Amsterdam,2023-01-29,481
85,Groningen,2023-01-29,157
86,Rotterdam,2023-01-29,391
87,Amsterdam,2023-01-30,390
88,Groningen,2023-01-30,104
89,Rotterdam,2023-01-30,229
90,Amsterdam,2023-01-31,298
91,Groningen,2023-01-31,100
92,Rotterdam,2023-01-31,232
93,Amsterdam,2023-02-01,293
94,Groningen,2023-02-01,80
95,Rotterdam,2023-02-01,218
96,Amsterdam,2023-02-02,365
97,Groningen,2023-02-02,83
98,Rotterdam,2023-02-02,254
99,Amsterdam,2023-02-03,425
100,Groningen,2023-02-03,118
101,Rotterdam,2023-02-03,340
102,Amsterdam,2023-02-04,401
103,Groningen,2023-02-04,127
104,Rotterdam,2023-02-04,350
105,Amsterdam,2023-02-05,452
106,Groningen,2023-02-05,152
107,Rotterdam,2023-02-05,328
108,Amsterdam,2023-02-06,377
109,Groningen,2023-02-06,76
110,Rotterdam,2023-02-06,240
111,Amsterdam,2023-02-07,284
112,Groningen,2023-02-07,64
113,Rotterdam,2023-02-07,191
114,Amsterdam,2023-02-08,336
115,Groningen,2023-02-08,86
116,Rotterdam,2023-02-08,199
117,Amsterdam,2023-02-09,341
118,Groningen,2023-02-09,84
119,Rotterdam,2023-02-09,238
120,Amsterdam,2023-02-10,387
121,Groningen,2023-02-10,108
122,Rotterdam,2023-02-10,307
123,Amsterdam,2023-02-11,380
124,Groningen,2023-02-11,113
125,Rotterdam,2023-02-11,321
126,Amsterdam,2023-02-12,462
127,Groningen,2023-02-12,128
128,Rotterdam,2023-02-12,359
129,Amsterdam,2023-02-13,326
130,Groningen,2023-02-13,76
131,Rotterdam,2023-02-13,247
132,Amsterdam,2023-02-14,341
133,Groningen,2023-02-14,85
134,Rotterdam,2023-02-14,271
135,Amsterdam,2023-02-15,344
136,Groningen,2023-02-15,98
137,Rotterdam,2023-02-15,244
138,Amsterdam,2023-02-16,365
139,Groningen,2023-02-16,91
140,Rotterdam,2023-02-16,226
141,Amsterdam,2023-02-17,395
142,Groningen,2023-02-17,103
143,Rotterdam,2023-02-17,306
144,Amsterdam,2023-02-18,374
145,Groningen,2023-02-18,129
146,Rotterdam,2023-02-18,325
147,Amsterdam,2023-02-19,426
148,Groningen,2023-02-19,131
149,Rotterdam,2023-02-19,323
150,Amsterdam,2023-02-20,401
151,Groningen,2023-02-20,83
152,Rotterdam,2023-02-20,288
153,Amsterdam,2023-02-21,353
154,Groningen,2023-02-21,95
155,Rotterdam,2023-02-21,272
156,Amsterdam,2023-02-22,370
157,Groningen,2023-02-22,98
158,Rotterdam,2023-02-22,219
159,Amsterdam,2023-02-23,399
160,Groningen,2023-02-23,94
161,Rotterdam,2023-02-23,272
162,Amsterdam,2023-02-24,438
163,Groningen,2023-02-24,129
164,Rotterdam,2023-02-24,364
165,Amsterdam,2023-02-25,401
166,Groningen,2023-02-25,141
167,Rotterdam,2023-02-25,391
168,Amsterdam,2023-02-26,464
169,Groningen,2023-02-26,159
170,Rotterdam,2023-02-26,354
171,Amsterdam,2023-02-27,372
172,Groningen,2023-02-27,89
173,Rotterdam,2023-02-27,245
174,Amsterdam,2023-02-28,316
175,Groningen,2023-02-28,90
176,Rotterdam,2023-02-28,227
177,Amsterdam,2023-03-01,345
178,Groningen,2023-03-01,80
179,Rotterdam,2023-03-01,243
180,Amsterdam,2023-03-02,373
181,Groningen,2023-03-02,95
182,Rotterdam,2023-03-02,260
183,Amsterdam,2023-03-03,405
184,Groningen,2023-03-03,103
185,Rotterdam,2023-03-03,311
186,Amsterdam,2023-03-04,413
187,Groningen,2023-03-04,113
188,Rotterdam,2023-03-04,324
189,Amsterdam,2023-03-05,442
190,Groningen,2023-03-05,136
191,Rotterdam,2023-03-05,350
192,Amsterdam,2023-03-06,344
193,Groningen,2023-03-06,98
194,Rotterdam,2023-03-06,243
195,Amsterdam,2023-03-07,295
196,Groningen,2023-03-07,78
197,Rotterdam,2023-03-07,230
198,Amsterdam,2023-03-08,344
199,Groningen,2023-03-08,77
200,Rotterdam,2023-03-08,223
201,Amsterdam,2023-03-09,438
202,Groningen,2023-03-09,105
203,Rotterdam,2023-03-09,270
204,Amsterdam,2023-03-10,483
205,Groningen,2023-03-10,140
206,Rotterdam,2023-03-10,345
207,Amsterdam,2023-03-11,442
208,Groningen,2023-03-11,134
209,Rotterdam,2023-03-11,313
210,Amsterdam,2023-03-12,490
211,Groningen,2023-03-12,143
212,Rotterdam,2023-03-12,353
213,Amsterdam,2023-03-13,378
214,Groningen,2023-03-13,101
215,Rotterdam,2023-03-13,233
216,Amsterdam,2023-03-14,314
217,Groningen,2023-03-14,90
218,Rotterdam,2023-03-14,198
219,Amsterdam,2023-03-15,332
220,Groningen,2023-03-15,83
221,Rotterdam,2023-03-15,204
222,Amsterdam,2023-03-16,328
223,Groningen,2023-03-16,110
224,Rotterdam,2023-03-16,227
225,Amsterdam,2023-03-17,354
226,Groningen,2023-03-17,112
227,Rotterdam,2023-03-17,225
228,Amsterdam,2023-03-18,389
229,Groningen,2023-03-18,118
230,Rotterdam,2023-03-18,257
231,Amsterdam,2023-03-19,437
232,Groningen,2023-03-19,153
233,Rotterdam,2023-03-19,332
234,Amsterdam,2023-03-20,411
235,Groningen,2023-03-20,94
236,Rotterdam,2023-03-20,231
237,Amsterdam,2023-03-21,345
238,Groningen,2023-03-21,88
239,Rotterdam,2023-03-21,207
240,Amsterdam,2023-03-22,351
241,Groningen,2023-03-22,84
242,Rotterdam,2023-03-22,257
243,Amsterdam,2023-03-23,377
244,Groningen,2023-03-23,90
245,Rotterdam,2023-03-23,220
246,Amsterdam,2023-03-24,379
247,Groningen,2023-03-24,124
248,Rotterdam,2023-03-24,287
249,Amsterdam,2023-03-25,432
250,Groningen,2023-03-25,140
251,Rotterdam,2023-03-25,321
252,Amsterdam,2023-03-26,424
253,Groningen,2023-03-26,170
254,Rotterdam,2023-03-26,364
255,Amsterdam,2023-03-27,320
256,Groningen,2023-03-27,93
257,Rotterdam,2023-03-27,202
258,Amsterdam,2023-03-28,308
259,Groningen,2023-03-28,87
260,Rotterdam,2023-03-28,201
261,Amsterdam,2023-03-29,330
262,Groningen,2023-03-29,86
263,Rotterdam,2023-03-29,226
264,Amsterdam,2023-03-30,335
265,Groningen,2023-03-30,97
266,Rotterdam,2023-03-30,173
267,Amsterdam,2023-03-31,424
268,Groningen,2023-03-31,117
269,Rotterdam,2023-03-31,303
270,Amsterdam,2023-04-01,409
271,Groningen,2023-04-01,135
272,Rotterdam,2023-04-01,319
273,Amsterdam,2023-04-02,391
274,Groningen,2023-04-02,118
275,Rotterdam,2023-04-02,286
276,Amsterdam,2023-04-03,303
277,Groningen,2023-04-03,76
278,Rotterdam,2023-04-03,200
279,Amsterdam,2023-04-04,294
280,Groningen,2023-04-04,70
281,Rotterdam,2023-04-04,194
282,Amsterdam,2023-04-05,293
283,Groningen,2023-04-05,65
284,Rotterdam,2023-04-05,209
285,Amsterdam,2023-04-06,335
286,Groningen,2023-04-06,87
287,Rotterdam,2023-04-06,261
288,Amsterdam,2023-04-07,325
289,Groningen,2023-04-07,93
290,Rotterdam,2023-04-07,263
291,Amsterdam,2023-04-08,319
292,Groningen,2023-04-08,91
293,Rotterdam,2023-04-08,234
294,Amsterdam,2023-04-09,315
295,Groningen,2023-04-09,103
296,Rotterdam,2023-04-09,244
297,Amsterdam,2023-04-10,397
298,Groningen,2023-04-10,137
299,Rotterdam,2023-04-10,290
300,Amsterdam,2023-04-11,295
301,Groningen,2023-04-11,74
302,Rotterdam,2023-04-11,180
303,Amsterdam,2023-04-12,316
304,Groningen,2023-04-12,64
305,Rotterdam,2023-04-12,170
306,Amsterdam,2023-04-13,303
